"Year","Tms","N.Bat","BatAge","Avg_PA","Avg_AB","Avg_H"
1871,9,115,23.9,38.442,34.5976428571429,9.12192857142857
1872,11,143,23.5,38.442,34.5976428571429,9.12192857142857
1873,9,122,24.2,38.442,34.5976428571429,9.12192857142857
1874,8,120,24.8,38.442,34.5976428571429,9.12192857142857
1875,13,190,24.6,38.442,34.5976428571429,9.12192857142857
1876,8,121,25.4,38.442,34.5976428571429,9.12192857142857
1877,6,92,25.9,38.442,34.5976428571429,9.12192857142857
1878,6,77,24.7,38.442,34.5976428571429,9.12192857142857
1879,8,119,24.6,38.442,34.5976428571429,9.12192857142857
1880,8,127,24.8,38.442,34.5976428571429,9.12192857142857
1881,8,120,25.7,38.442,34.5976428571429,9.12192857142857
1882,14,229,25.5,38.442,34.5976428571429,9.12192857142857
1883,16,258,26.4,38.442,34.5976428571429,9.12192857142857
1884,33,638,25.2,38.442,34.5976428571429,9.12192857142857
1885,16,321,26.6,38.442,34.5976428571429,9.12192857142857
1886,16,326,26.7,38.442,34.5976428571429,9.12192857142857
1887,16,316,26.7,38.442,34.5976428571429,9.12192857142857
1888,16,331,26.7,38.442,34.5976428571429,9.12192857142857
1889,16,322,26.8,38.442,34.5976428571429,9.12192857142857
1890,25,510,27,38.442,34.5976428571429,9.12192857142857
1891,17,360,27.2,38.442,34.5976428571429,9.12192857142857
1892,12,265,27.4,38.442,34.5976428571429,9.12192857142857
1893,12,260,27.8,38.442,34.5976428571429,9.12192857142857
1894,12,264,27.7,38.442,34.5976428571429,9.12192857142857
1895,12,284,27.9,38.442,34.5976428571429,9.12192857142857
1896,12,272,28,38.442,34.5976428571429,9.12192857142857
1897,12,263,28,38.442,34.5976428571429,9.12192857142857
1898,12,299,28,38.442,34.5976428571429,9.12192857142857
1899,12,310,27.9,38.442,34.5976428571429,9.12192857142857
1900,8,188,28.5,38.442,34.5976428571429,9.12192857142857
1901,16,371,28.1,38.442,34.5976428571429,9.12192857142857
1902,16,390,28.3,38.442,34.5976428571429,9.12192857142857
1903,16,368,28.4,38.442,34.5976428571429,9.12192857142857
1904,16,364,28.4,38.442,34.5976428571429,9.12192857142857
1905,16,390,28.6,38.442,34.5976428571429,9.12192857142857
1906,16,412,28.5,38.442,34.5976428571429,9.12192857142857
1907,16,418,28.6,38.442,34.5976428571429,9.12192857142857
1908,16,440,28.5,38.442,34.5976428571429,9.12192857142857
1909,16,504,27.5,38.442,34.5976428571429,9.12192857142857
1910,16,508,27.2,38.442,34.5976428571429,9.12192857142857
1911,16,536,27.1,38.442,34.5976428571429,9.12192857142857
1912,16,604,26.8,38.442,34.5976428571429,9.12192857142857
1913,16,582,26.8,38.442,34.5976428571429,9.12192857142857
1914,24,740,27.2,38.442,34.5976428571429,9.12192857142857
1915,24,733,27.3,38.442,34.5976428571429,9.12192857142857
1916,16,527,27.3,38.442,34.5976428571429,9.12192857142857
1917,16,490,27.3,38.442,34.5976428571429,9.12192857142857
1918,16,489,28.1,38.442,34.5976428571429,9.12192857142857
1919,16,479,28.1,38.442,34.5976428571429,9.12192857142857
1920,16,495,28.1,38.442,34.5976428571429,9.12192857142857
1921,16,492,28.1,38.442,34.5976428571429,9.12192857142857
1922,16,497,28.5,38.442,34.5976428571429,9.12192857142857
1923,16,513,28.3,38.442,34.5976428571429,9.12192857142857
